iter	Logloss
0	0.6048054218
1	0.5284231186
2	0.4600234985
3	0.4020819187
4	0.3529733658
5	0.3171776295
6	0.2764583588
7	0.2480808496
8	0.2253269196
9	0.2064196348
10	0.1835412264
11	0.1689873934
12	0.155098331
13	0.1404994965
14	0.1320597887
15	0.1221758962
16	0.1098760605
17	0.1020890474
18	0.09555637836
19	0.08703318834
20	0.08235162497
21	0.07499237061
22	0.06972429752
23	0.06672694683
24	0.06294017434
25	0.05847376585
26	0.05487978458
27	0.05212079287
28	0.04963959157
29	0.04757861495
30	0.04515042007
31	0.04283677042
32	0.04117724299
33	0.0395593226
34	0.03777324557
35	0.03624290228
36	0.03491072059
37	0.03290062547
38	0.03168398142
39	0.03029592633
40	0.02896056175
41	0.02797217369
42	0.0271402359
43	0.02639373243
44	0.02566887438
45	0.02478313297
46	0.02412260026
47	0.02334696949
48	0.02280171067
49	0.02218990028
50	0.02145551443
51	0.02078420669
52	0.02022525668
53	0.01954786181
54	0.01894842982
55	0.01857792735
56	0.01819719821
57	0.01771136522
58	0.01733390689
59	0.01688931882
60	0.01647266001
61	0.01615673602
62	0.01579488218
63	0.01558625698
64	0.01499263644
65	0.01462726593
66	0.01433771551
67	0.01404622346
68	0.01377367377
69	0.01346613318
70	0.01318276972
71	0.01288639754
72	0.0126132369
73	0.01236701012
74	0.01207415313
75	0.01186673418
76	0.01165507883
77	0.01142997518
78	0.01129583567
79	0.01109428555
80	0.01088786423
81	0.0107191585
82	0.01048975438
83	0.01026859581
84	0.01013400927
85	0.009963300824
86	0.009692548215
87	0.009501424432
88	0.009375303984
89	0.009239047766
90	0.009049397707
91	0.008929798007
92	0.008799855411
93	0.008667056262
94	0.008543574065
95	0.008388677984
96	0.008210861683
97	0.008091630042
98	0.00800563246
99	0.007912337035
100	0.007798704505
101	0.007700241357
102	0.00758240819
103	0.007480139285
104	0.00735520795
105	0.007273650169
106	0.007161140442
107	0.007084351033
108	0.007012404501
109	0.006930659711
110	0.006846286356
111	0.006755450368
112	0.006674797833
113	0.006603333354
114	0.006519716978
115	0.006440891325
116	0.006373126805
117	0.006301227957
118	0.006237756833
119	0.006176576018
120	0.006105078012
121	0.006038494408
122	0.005945387483
123	0.005886443332
124	0.005828782916
125	0.005772234499
126	0.005726668239
127	0.00565340668
128	0.00560939759
129	0.005554692447
130	0.005485550314
131	0.005436047912
132	0.005363032967
